#,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY,,!,!EXNAME,!WST_ID,!SOIL_ID,!Soil #,!,!Stratum,,!,MAN_ID,
*,NIORO016,NIORO------Soil2,NIORO-4----0XFX-CURRENT,,!,NIORO016,MEDI,ITSN840042,2,,4,,,,
*,NIORO017,NIORO------Soil2,NIORO-5----0XFX-CURRENT,,!,NIORO017,MEDI,ITSN840042,2,,5,,,,
*,NIORO018,NIORO------Soil2,NIORO-5----0XFX-CURRENT,,!,NIORO018,MEDI,ITSN840042,2,,5,,,,
*,NIORO019,NIORO------Soil2,NIORO-6----0XFX-CURRENT,,!,NIORO019,MEDI,ITSN840042,2,,6,,,,
*,NIORO020,NIORO------Soil2,NIORO-2----0XFX-CURRENT,,!,NIORO020,MEDI,ITSN840042,2,,2,,,,
*,NIORO021,NIORO------Soil2,NIORO-6----0XFX-CURRENT,,!,NIORO021,MEDI,ITSN840042,2,,6,,,,
*,NIORO022,NIORO------Soil2,NIORO-1----0XFX-CURRENT,,!,NIORO022,MEDI,ITSN840042,2,,1,,,,
*,NIORO023,NIORO------Soil2,NIORO-2----0XFX-CURRENT,,!,NIORO023,MEDI,ITSN840042,2,,2,,,,
*,NIORO024,NIORO------Soil2,NIORO-5----0XFX-CURRENT,,!,NIORO024,MEDI,ITSN840042,2,,5,,,,
*,NIORO025,NIORO------Soil2,NIORO-4----0XFX-CURRENT,,!,NIORO025,MEDI,ITSN840042,2,,4,,,,
*,NIORO026,NIORO------Soil2,NIORO-5----0XFX-CURRENT,,!,NIORO026,MEDI,ITSN840042,2,,5,,,,
*,NIORO027,NIORO------Soil2,NIORO-4----0XFX-CURRENT,,!,NIORO027,MEDI,ITSN840042,2,,4,,,,
*,NIORO028,NIORO------Soil2,NIORO-2----0XFX-CURRENT,,!,NIORO028,MEDI,ITSN840042,2,,2,,,,
*,NIORO029,NIORO------Soil2,NIORO-4----0XFX-CURRENT,,!,NIORO029,MEDI,ITSN840042,2,,4,,,,
*,NIORO030,NIORO------Soil2,NIORO-4----0XFX-CURRENT,,!,NIORO030,MEDI,ITSN840042,2,,4,,,,
*,NIORO031,NIORO------Soil2,NIORO-7----0XFX-CURRENT,,!,NIORO031,MEDI,ITSN840042,2,,7,,,,
*,NIORO032,NIORO------Soil2,NIORO-3----0XFX-CURRENT,,!,NIORO032,MEDI,ITSN840042,2,,3,,,,
*,NIORO033,NIORO------Soil2,NIORO-3----0XFX-CURRENT,,!,NIORO033,MEDI,ITSN840042,2,,3,,,,
*,NIORO034,NIORO------Soil2,NIORO-6----0XFX-CURRENT,,!,NIORO034,MEDI,ITSN840042,2,,6,,,,
*,NIORO035,NIORO------Soil2,NIORO-4----0XFX-CURRENT,,!,NIORO035,MEDI,ITSN840042,2,,4,,,,
*,NIORO036,NIORO------Soil2,NIORO-3----0XFX-CURRENT,,!,NIORO036,MEDI,ITSN840042,2,,3,,,,
*,NIORO037,NIORO------Soil2,NIORO-3----0XFX-CURRENT,,!,NIORO037,MEDI,ITSN840042,2,,3,,,,
*,NIORO038,NIORO------Soil2,NIORO-2----0XFX-CURRENT,,!,NIORO038,MEDI,ITSN840042,2,,2,,,,
*,NIORO039,NIORO------Soil2,NIORO-6----0XFX-CURRENT,,!,NIORO039,MEDI,ITSN840042,2,,6,,,,
*,NIORO040,NIORO------Soil2,NIORO-4----0XFX-CURRENT,,!,NIORO040,MEDI,ITSN840042,2,,4,,,,
*,NIORO041,NIORO------Soil2,NIORO-6----0XFX-CURRENT,,!,NIORO041,MEDI,ITSN840042,2,,6,,,,
*,NIORO042,NIORO------Soil2,NIORO-4----0XFX-CURRENT,,!,NIORO042,MEDI,ITSN840042,2,,4,,,,
*,NIORO043,NIORO------Soil3,NIORO-2----0XFX-CURRENT,,!,NIORO043,NDIB,ITSN840056,3,,2,,,,
*,NIORO044,NIORO------Soil3,NIORO-6----0XFX-CURRENT,,!,NIORO044,NDIB,ITSN840056,3,,6,,,,
*,NIORO045,NIORO------Soil3,NIORO-3----0XFX-CURRENT,,!,NIORO045,NDIB,ITSN840056,3,,3,,,,
*,NIORO046,NIORO------Soil3,NIORO-4----0XFX-CURRENT,,!,NIORO046,NDIB,ITSN840056,3,,4,,,,
*,NIORO047,NIORO------Soil3,NIORO-3----0XFX-CURRENT,,!,NIORO047,NDIB,ITSN840056,3,,3,,,,
*,NIORO048,NIORO------Soil3,NIORO-6----0XFX-CURRENT,,!,NIORO048,NDIB,ITSN840056,3,,6,,,,
*,NIORO049,NIORO------Soil3,NIORO-3----0XFX-CURRENT,,!,NIORO049,NDIB,ITSN840056,3,,3,,,,
*,NIORO050,NIORO------Soil1,NIORO-5----0XFX-CURRENT,,!,NIORO050,NGAY,ITSN840080,1,,5,,,,
*,NIORO051,NIORO------Soil1,NIORO-7----0XFX-CURRENT,,!,NIORO051,NGAY,ITSN840080,1,,7,,,,
