! Definitions,Experiment name,Dome name for field overlay (regional management assumptions),Dome name for seasonal strategy (multi-year or management regimens),,,,,,,,,! Soil Types used for Field overlay DOME,,,,,,
! Units,,Copy name(s) from field overlay file,Copy name(s) from seasonal strategy file,,,,,,,,,!,!Soil #,!Soil_ID,!Field Overlay name,!,!,
#,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY,,!,!EXNAME,!WST_ID,!SOIL_ID,!Soil #,!Stratum,,!,2,ITSN840042,NIORO---A1---Soil2_A1,,,
*,NIORO048,NIORO---A1---Soil3_A1,NIORO-6--A1--0XFX-CURRENT,,!,NIORO048,NDIB,ITSN840056,3,6,,,,,,,,
*,NIORO049,NIORO---A1---Soil3_A1,NIORO-3--A1--0XFX-CURRENT,,!,NIORO049,NDIB,ITSN840056,3,3,,,,,,,,
*,NIORO050,NIORO---A1---Soil1_A1,NIORO-5--A1--0XFX-CURRENT,,!,NIORO050,NGAY,ITSN840080,1,5,,,,,,,,
*,NIORO051,NIORO---A1---Soil1_A1,NIORO-7--A1--0XFX-CURRENT,,!,NIORO051,NGAY,ITSN840080,1,7,,,,,,,,
*,NIORO052,NIORO---A1---Soil1_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO052,NGAY,ITSN840080,1,4,,,,,,,,
*,NIORO053,NIORO---A1---Soil1_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO053,NGAY,ITSN840080,1,4,,,,,,,,
*,NIORO054,NIORO---A1---Soil1_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO054,NGAY,ITSN840080,1,4,,,,,,,,
*,NIORO055,NIORO---A1---Soil1_A1,NIORO-3--A1--0XFX-CURRENT,,!,NIORO055,NGAY,ITSN840080,1,3,,,,,,,,
*,NIORO056,NIORO---A1---Soil1_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO056,NGAY,ITSN840080,1,4,,,,,,,,
*,NIORO057,NIORO---A1---Soil1_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO057,NGAY,ITSN840080,1,4,,,,,,,,
*,NIORO058,NIORO---A1---Soil1_A1,NIORO-5--A1--0XFX-CURRENT,,!,NIORO058,NGAY,ITSN840080,1,5,,,,,,,,
*,NIORO059,NIORO---A1---Soil1_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO059,NGAY,ITSN840080,1,4,,,,,,,,
*,NIORO060,NIORO---A1---Soil1_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO060,NGAY,ITSN840080,1,4,,,,,,,,
*,NIORO061,NIORO---A1---Soil1_A1,NIORO-4--A1--0XFX-CURRENT,,!,NIORO061,NGAY,ITSN840080,1,4,,,,,,,,
*,NIORO062,NIORO---A1---Soil1_A1,NIORO-5--A1--0XFX-CURRENT,,!,NIORO062,NGAY,ITSN840080,1,5,,,,,,,,
